A_ID,Gender,Education,Specialization,interests,skills,Yearly salary in pounds,Certifications,Job_status,Job_title,Highest Qualification,processed_interests,processed_skills
A12,Male,B.Com,Accountancy ,Financial Analysis;News Coverage;Research;Sales/Marketing;Social Justice;Teaching;Technology;Trading;Understand human behaviour;Understand human body;Supply Chain Analysis;Data analytics;Govt. Job;Game industry;Digital marketing,Accounting Skills;Active Listening;Critical Thinking;Gathering Information;Business Knowledge;Analytical Skills;Finance related skills;People management;Communication skills;Negotiation skills;Mass Communication;Leadership;Product knowledge;Problem Solving skills;Risk management skills;Data Visualization skills( Power Bi/ Tableau );Sales;Interpersonal skills;Wealth Management,47,No,Yes,Finance Manager,M. Com,"['financial analysis', 'news coverage', 'research', 'sales', 'market', 'social justice', 'teach', 'technology', 'trade', 'understand human behaviour', 'understand human body', 'supply chain analysis', 'data analytics', 'govt. job', 'game industry', 'digital marketing']","['accounting skills', 'active listening', 'critical thinking', 'gathering information', 'business knowledge', 'analytical skills', 'finance related skills', 'people management', 'communication skills', 'negotiation skills', 'mass communication', 'leadership', 'product knowledge', 'problem solving skills', 'risk management skills', 'data visualization skills( power bi', 'tableau )', 'sales', 'interpersonal skills', 'wealth management']"
A13,Male,B.Sc,Physics,News Coverage;Social Justice;Content Writing;Govt. Job,Accounting Skills;Critical Thinking;Gathering Information;Artistic/Creative Skills;Analytical Skills,76,No,Yes,Sub Editor,Master of journalism,"['news coverage', 'social justice', 'content writing', 'govt. job']","['accounting skills', 'critical thinking', 'gathering information', 'artistic', 'creative skills', 'analytical skills']"
A14,Male,B.Sc,Physics,News Coverage;Social Justice;Content Writing;Govt. Job,Accounting Skills;Critical Thinking;Gathering Information;Artistic/Creative Skills;Analytical Skills,44,No,Yes,Sub Editor,Master of journalism,"['news coverage', 'social justice', 'content writing', 'govt. job']","['accounting skills', 'critical thinking', 'gathering information', 'artistic', 'creative skills', 'analytical skills']"
A15,Male,B.E,Information Technology,"Technology, Understand Human Behaviour, Understand Human Body","Analytic Thinking, Gathering Informing, SQL, Risk Managing",71,No,Yes,Risk analyst ,Masters in Business Analytics,"['technology', 'understand human behaviour', 'understand human body']","['analytic thinking', 'gathering informing', 'sql', 'risk managing']"
A16,Female,B.Sc,Biotechnology,Research;Sales/Marketing;Teaching;Trading;Understand human behaviour,Active Listening;Critical Thinking;Business Knowledge;People management;Communication skills;Leadership;Problem Solving skills;Risk management skills;Writing skills;Hospitality;Client management;Good communication skills,55,Pioneer lab course work ,Yes,Asst. Manager ,Mba(H.A) ,"['research', 'sales', 'market', 'teach', 'trade', 'understand human behaviour']","['active listening', 'critical thinking', 'business knowledge', 'people management', 'communication skills', 'leadership', 'problem solving skills', 'risk management skills', 'writing skills', 'hospitality', 'client management', 'good communication skills']"
A17,Male,B.Com,Accountancy,"Financial Analysis, News Coverage, Research, Sales/Marketing, Trading, Entrepreneurship","Accounting Skills, Active Listening, Critical Thinking, Analytic Thinking, Gathering Informing, Business Knowledge, People Management, Communication Skills, Negotiation Skills, Leadership, Product Knowledge, Cost Accounting, Excel",55,Tally,No,Student (Unemployed),Masters in Accounting,"['financial analysis', 'news coverage', 'research', 'sales', 'market', 'trade', 'entrepreneurship']","['accounting skills', 'active listening', 'critical thinking', 'analytic thinking', 'gathering informing', 'business knowledge', 'people management', 'communication skills', 'negotiation skills', 'leadership', 'product knowledge', 'cost accounting', 'excel']"
A18,Male,B.Tech,Electronics and Communication Engineering,Teaching,"Active Listening,Work under Pressure,Team work,Presentation skills,Reading",65,No,Yes,Teaching,M.Tech,['teach'],"['active listening', 'work under pressure', 'team work', 'presentation skills', 'read']"
A19,Male,Diploma in pharmacy ,Hospitality,Hospitality ,"Accounting Skills, Business Knowledge, Editing, Excel, Designing Skills, Sales",44,Diploma in pharmacy ,Yes,Medical Practitioner,B pharm ,['hospitality'],"['accounting skills', 'business knowledge', 'edit', 'excel', 'designing skills', 'sales']"
A20,Male,Diploma in pharmacy ,Hospitality,Hospitality ,"Accounting Skills, Business Knowledge, Editing, Excel, Designing Skills, Sales",76,Diploma in pharmacy ,Yes,Medical Practitioner,B pharm ,['hospitality'],"['accounting skills', 'business knowledge', 'edit', 'excel', 'designing skills', 'sales']"
A21,Female,B.Sc,Biotechnology,"Research, Trading, Understand Human Behaviour","AI, ML, Python, Critical Thinking, Analytic Thinking, Artistic skills, Work under Pressure, Team work, Logical Skills, Presentation Skills",50,Data Science and Artificial Intelligence programe,Yes,Scientist,Masters in Science,"['research', 'trade', 'understand human behaviour']","['ai', 'ml', 'python', 'critical thinking', 'analytic thinking', 'artistic skills', 'work under pressure', 'team work', 'logical skills', 'presentation skills']"
A22,Female,B.Sc,Biotechnology,"Research, Trading, Understand Human Behaviour","AI, ML, Python, Critical Thinking, Analytic Thinking, Artistic skills, Work under Pressure, Team work, Logical Skills, Presentation Skills",43,Data Science and Artificial Intelligence programe,Yes,Scientist,Masters in Science,"['research', 'trade', 'understand human behaviour']","['ai', 'ml', 'python', 'critical thinking', 'analytic thinking', 'artistic skills', 'work under pressure', 'team work', 'logical skills', 'presentation skills']"
A23,Male,B.Sc,Physics,News Coverage;Social Justice;Content Writing;Govt. Job,Accounting Skills;Critical Thinking;Gathering Information;Artistic/Creative Skills;Analytical Skills,74,No,Yes,Sub Editor,Master of journalism,"['news coverage', 'social justice', 'content writing', 'govt. job']","['accounting skills', 'critical thinking', 'gathering information', 'artistic', 'creative skills', 'analytical skills']"
A24,Male,B.Com,Electrical and Electronics Engineering,Financial Analysis;Govt. Job,Accounting Skills;Active Listening;Critical Thinking;Artistic/Creative Skills;Business Knowledge;Analytical Skills;Finance related skills;People management;Leadership;Problem Solving skills;Writing skills;HR;Good communication skills,79,PGDMA ,Yes,ASSOCIATE OPERATIONS PROCESSOR-1,MBA (FINANCE & HR),"['financial analysis', 'govt. job']","['accounting skills', 'active listening', 'critical thinking', 'artistic', 'creative skills', 'business knowledge', 'analytical skills', 'finance related skills', 'people management', 'leadership', 'problem solving skills', 'writing skills', 'hr', 'good communication skills']"
A25,Female,Biotechnology,Biotechnology,"Research, Technology, Entrepreneurship, Understand Human Body","Active Listening, Critical Thinking, Analytic Thinking, Negotiation Skills, Presentation Skills, Problem Solving skills, Writing, Observation Skills, Subject Knowledge",61,No,No,Student (Unemployed),Masters in Biotechnology,"['research', 'technology', 'entrepreneurship', 'understand human body']","['active listening', 'critical thinking', 'analytic thinking', 'negotiation skills', 'presentation skills', 'problem solving skills', 'write', 'observation skills', 'subject knowledge']"
A26,Male,B.E,Accountancy,"Research, Sales/Marketing, Social Justice, Teaching, Technology, Entrepreneurship, Understand Human Behaviour","Programming, Communication Skills, Work under Pressure, Leadership, Editing, Product Knowledge, Team work, Excel, Logical Skills, Interpersonal Skills, Presentation Skills, C++, Problem Solving skills, Mass Communication, Writing, Reading, Designing Skills, Sales",56,No,Yes,Business developer,Masters in Business Administration,"['research', 'sales', 'market', 'social justice', 'teach', 'technology', 'entrepreneurship', 'understand human behaviour']","['program', 'communication skills', 'work under pressure', 'leadership', 'edit', 'product knowledge', 'team work', 'excel', 'logical skills', 'interpersonal skills', 'presentation skills', 'c++', 'problem solving skills', 'mass communication', 'write', 'read', 'designing skills', 'sales']"
A27,Male,B.Tech,Electronics and Communication Engineering,Teaching,"Active Listening,Work under Pressure,Team work,Presentation skills,Reading",41,No,Yes,Teaching,M.Tech,['teach'],"['active listening', 'work under pressure', 'team work', 'presentation skills', 'read']"
A28,Female,MDCS,Information TechNAlogy,Financial Analysis,"Analytic Thinking, SQL, Oracle, Programming, Team work, Linux, Building Rapport, Subject Knowledge",71,Automation Test Engineer,Yes,Computer Software Engineer,Masters in Computer Science,['financial analysis'],"['analytic thinking', 'sql', 'oracle', 'program', 'team work', 'linux', 'building rapport', 'subject knowledge']"
A29,Female,B.Sc,Biotechnology,"Research, Trading, Understand Human Behaviour","AI, ML, Python, Critical Thinking, Analytic Thinking, Artistic skills, Work under Pressure, Team work, Logical Skills, Presentation Skills",73,Data Science and Artificial Intelligence programe,Yes,Scientist,Masters in Science,"['research', 'trade', 'understand human behaviour']","['ai', 'ml', 'python', 'critical thinking', 'analytic thinking', 'artistic skills', 'work under pressure', 'team work', 'logical skills', 'presentation skills']"
A30,Female,B.Sc,Biotechnology,Research;Sales/Marketing;Teaching;Trading;Understand human behaviour,Active Listening;Critical Thinking;Business Knowledge;People management;Communication skills;Leadership;Problem Solving skills;Risk management skills;Writing skills;Hospitality;Client management;Good communication skills,70,Pioneer lab course work ,Yes,Asst. Manager ,Mba(H.A) ,"['research', 'sales', 'market', 'teach', 'trade', 'understand human behaviour']","['active listening', 'critical thinking', 'business knowledge', 'people management', 'communication skills', 'leadership', 'problem solving skills', 'risk management skills', 'writing skills', 'hospitality', 'client management', 'good communication skills']"
A31,Male,Bachelor of Management Studies,Business Administration,"Sales/Marketing, Entrepreneurship","Business Knowledge, People Management, Communication Skills, Logical Skills, Problem Solving skills, Reading, Sales",64,No,Yes,Business Consultant ,Master in Commerce,"['sales', 'market', 'entrepreneurship']","['business knowledge', 'people management', 'communication skills', 'logical skills', 'problem solving skills', 'read', 'sales']"
A32,Female,B.Sc,Biotechnology,"Research, Trading, Understand Human Behaviour","AI, ML, Python, Critical Thinking, Analytic Thinking, Artistic skills, Work under Pressure, Team work, Logical Skills, Presentation Skills",45,Data Science and Artificial Intelligence programe,Yes,Scientist,Masters in Science,"['research', 'trade', 'understand human behaviour']","['ai', 'ml', 'python', 'critical thinking', 'analytic thinking', 'artistic skills', 'work under pressure', 'team work', 'logical skills', 'presentation skills']"
A33,Male,Bachelor of Management Studies,Business Administration,"Sales/Marketing, Entrepreneurship","Business Knowledge, People Management, Communication Skills, Logical Skills, Problem Solving skills, Reading, Sales",63,No,Yes,Business Consultant ,Master in Commerce,"['sales', 'market', 'entrepreneurship']","['business knowledge', 'people management', 'communication skills', 'logical skills', 'problem solving skills', 'read', 'sales']"
A34,Female,B.Sc,Biotechnology,Research;Sales/Marketing;Teaching;Trading;Understand human behaviour,Active Listening;Critical Thinking;Business Knowledge;People management;Communication skills;Leadership;Problem Solving skills;Risk management skills;Writing skills;Hospitality;Client management;Good communication skills,50,Pioneer lab course work ,Yes,Asst. Manager ,Mba(H.A) ,"['research', 'sales', 'market', 'teach', 'trade', 'understand human behaviour']","['active listening', 'critical thinking', 'business knowledge', 'people management', 'communication skills', 'leadership', 'problem solving skills', 'risk management skills', 'writing skills', 'hospitality', 'client management', 'good communication skills']"
A35,Female,BCA,Computers Science,Research;Technology;Web Designing;Content Writing;Digital marketing,Active Listening;Programming Language skills;Critical Thinking;Gathering Information;Artistic/Creative Skills;Communication skills;Problem Solving skills;Designing skills;Writing skills;C++;Presentation Skills;Linux;Artificial Intelligence;SQL;Content creation;Java;Cloud Computing,70,"MTA Networking, Cisco Networking, MTA DBMS, HubSpot Content Marketing, Alison Content Strategy, Google AdWords etc.",Yes,Software Programmer,Masters in Computer Applications ,"['research', 'technology', 'web designing', 'content writing', 'digital marketing']","['active listening', 'programming language skills', 'critical thinking', 'gathering information', 'artistic', 'creative skills', 'communication skills', 'problem solving skills', 'designing skills', 'writing skills', 'c++', 'presentation skills', 'linux', 'artificial intelligence', 'sql', 'content creation', 'java', 'cloud computing']"
A36,Male,B.Tech,Electronics and Communication Engineering,Teaching,"Active Listening,Work under Pressure,Team work,Presentation skills,Reading",71,No,Yes,Teaching,M.Tech,['teach'],"['active listening', 'work under pressure', 'team work', 'presentation skills', 'read']"
A37,Female,B.Sc,Microbiology,"Technology, Understand Human Body","Leadership, Team work, Presentation Skills, Writing, Observation Skills, Designing Skills",41,No,Yes,Student (Unemployed),Masters in Science,"['technology', 'understand human body']","['leadership', 'team work', 'presentation skills', 'write', 'observation skills', 'designing skills']"
A38,Male,Bachelor of Management Studies,Business Administration,"Sales/Marketing, Entrepreneurship","Business Knowledge, People Management, Communication Skills, Logical Skills, Problem Solving skills, Reading, Sales",79,No,Yes,Business Consultant ,Master in Commerce,"['sales', 'market', 'entrepreneurship']","['business knowledge', 'people management', 'communication skills', 'logical skills', 'problem solving skills', 'read', 'sales']"
A39,Female,B.Sc,Biotechnology,"Research, Trading, Understand Human Behaviour","AI, ML, Python, Critical Thinking, Analytic Thinking, Artistic skills, Work under Pressure, Team work, Logical Skills, Presentation Skills",68,Data Science and Artificial Intelligence programe,Yes,Scientist,Masters in Science,"['research', 'trade', 'understand human behaviour']","['ai', 'ml', 'python', 'critical thinking', 'analytic thinking', 'artistic skills', 'work under pressure', 'team work', 'logical skills', 'presentation skills']"
A40,Male,B.Sc,Physics,News Coverage;Social Justice;Content Writing;Govt. Job,Accounting Skills;Critical Thinking;Gathering Information;Artistic/Creative Skills;Analytical Skills,45,No,Yes,Sub Editor,Master of journalism,"['news coverage', 'social justice', 'content writing', 'govt. job']","['accounting skills', 'critical thinking', 'gathering information', 'artistic', 'creative skills', 'analytical skills']"
A41,Female,B.Tech,Statistics,Research;Data analytics;Web development;Social media marketing;Social causes;Industires;Sports Industry,Programming Language skills;Critical Thinking;Gathering Information;Communication skills;Negotiation skills;Mass Communication;Leadership;Editing;Problem Solving skills;Risk management skills;C++;Presentation Skills;Linux;Python;Content creation;Java;Cloud Computing;MATLAB;Good communication skills;SAP;AWS;Salesforce Admin,54,Salesforce Admin,Yes,Salesforce Admin,M.Tech,"['research', 'data analytics', 'web development', 'social media marketing', 'social causes', 'industires', 'sports industry']","['programming language skills', 'critical thinking', 'gathering information', 'communication skills', 'negotiation skills', 'mass communication', 'leadership', 'edit', 'problem solving skills', 'risk management skills', 'c++', 'presentation skills', 'linux', 'python', 'content creation', 'java', 'cloud computing', 'matlab', 'good communication skills', 'sap', 'aws', 'salesforce admin']"
A42,Male,B.Sc,Physics,News Coverage;Social Justice;Content Writing;Govt. Job,Accounting Skills;Critical Thinking;Gathering Information;Artistic/Creative Skills;Analytical Skills,73,No,Yes,Sub Editor,Master of journalism,"['news coverage', 'social justice', 'content writing', 'govt. job']","['accounting skills', 'critical thinking', 'gathering information', 'artistic', 'creative skills', 'analytical skills']"
A43,Female,B.Sc,Microbiology,"Technology, Understand Human Body","Leadership, Team work, Presentation Skills, Writing, Observation Skills, Designing Skills",62,No,Yes,Student (Unemployed),Masters in Science,"['technology', 'understand human body']","['leadership', 'team work', 'presentation skills', 'write', 'observation skills', 'designing skills']"
A44,Male,BBA ,Business Administration,Sales/Marketing,"Communication Skills, Leadership, Team work, Reporting",53,Certificate in information technology ,Yes,Marketing Manager,Masters in Business Administration,"['sales', 'market']","['communication skills', 'leadership', 'team work', 'report']"
A45,Female,B.Sc,Mathematics,News Coverage,"Communication Skills, Leadership, Problem Solving skills, Subject Knowledge",60,No,No,Student (Unemployed),Masters in Business Administration,['news coverage'],"['communication skills', 'leadership', 'problem solving skills', 'subject knowledge']"
A46,Male,B.Tech,Electronics and Communication Engineering,Teaching,"Active Listening,Work under Pressure,Team work,Presentation skills,Reading",45,No,Yes,Teaching,M.Tech,['teach'],"['active listening', 'work under pressure', 'team work', 'presentation skills', 'read']"
A47,Female,B.Sc,Mathematics,News Coverage,"Communication Skills, Leadership, Problem Solving skills, Subject Knowledge",71,No,No,Student (Unemployed),Masters in Business Administration,['news coverage'],"['communication skills', 'leadership', 'problem solving skills', 'subject knowledge']"
A48,Female,B.Sc,Mathematics,"Teacher, Professor","Communication Skills, Leadership, Problem Solving skills, Subject Knowledge",72,No,No,Student (Unemployed),Masters in Business Administration,"['teacher', 'professor']","['communication skills', 'leadership', 'problem solving skills', 'subject knowledge']"
A49,Male,Bachelor of Management Studies,Business Administration,"Sales/Marketing, Entrepreneurship","Business Knowledge, People Management, Communication Skills, Logical Skills, Problem Solving skills, Reading, Sales",72,No,Yes,Business Consultant ,Master in Commerce,"['sales', 'market', 'entrepreneurship']","['business knowledge', 'people management', 'communication skills', 'logical skills', 'problem solving skills', 'read', 'sales']"
A50,Male,B.Sc,Information Technology,Technology,Active Listening;Critical Thinking,63,No,Yes,software engineer,Ma,['technology'],"['active listening', 'critical thinking']"
A51,Female,B.Sc,Biotechnology,"Research, Trading, Understand Human Behaviour","AI, ML, Python, Critical Thinking, Analytic Thinking, Artistic skills, Work under Pressure, Team work, Logical Skills, Presentation Skills",69,Data Science and Artificial Intelligence programe,Yes,Scientist,Masters in Science,"['research', 'trade', 'understand human behaviour']","['ai', 'ml', 'python', 'critical thinking', 'analytic thinking', 'artistic skills', 'work under pressure', 'team work', 'logical skills', 'presentation skills']"
A52,Female,B.Sc,Information Technology,Research,"ML, Python",79,Machine learning with python,No,Sales Executive,Masters in Statistics,['research'],"['ml', 'python']"
A53,Male,Bachelor of Management Studies,Business Administration,"Sales/Marketing, Entrepreneurship","Business Knowledge, People Management, Communication Skills, Logical Skills, Problem Solving skills, Reading, Sales",59,No,Yes,Business Consultant ,Master in Commerce,"['sales', 'market', 'entrepreneurship']","['business knowledge', 'people management', 'communication skills', 'logical skills', 'problem solving skills', 'read', 'sales']"
A54,Female,B.Tech,Electronics and Communication Engineering,IT,"Python, Editing, Team work, Problem Solving skills, Writing",41,"Azure, python",No,Student (Unemployed),Master of engineering,['it'],"['python', 'edit', 'team work', 'problem solving skills', 'write']"
A55,Male,B.Tech,Mechanical Engineering,Supply Chain Analysis;Content Writing;Data analytics,Accounting Skills;Active Listening;Programming Language skills;Gathering Information;Wealth Management;Content creation,71,No,Yes,Assistent Manger,Assistent Manger,"['supply chain analysis', 'content writing', 'data analytics']","['accounting skills', 'active listening', 'programming language skills', 'gathering information', 'wealth management', 'content creation']"
A56,Female,B.Sc,Mathematics,News Coverage,"Communication Skills, Leadership, Problem Solving skills, Subject Knowledge",40,No,No,Student (Unemployed),Masters in Business Administration,['news coverage'],"['communication skills', 'leadership', 'problem solving skills', 'subject knowledge']"
A57,Male,B.Sc,Physics,Social Justice,"Business Knowledge, Sales",44,No,No,Teaching,Masters in Data Science,['social justice'],"['business knowledge', 'sales']"
A58,Female,B.Sc,Mathematics,News Coverage,"Communication Skills, Leadership, Problem Solving skills, Subject Knowledge",45,No,No,Student (Unemployed),Masters in Business Administration,['news coverage'],"['communication skills', 'leadership', 'problem solving skills', 'subject knowledge']"
A59,Female,B.Tech,Information Technology,Entrepreneurship,"Gathering Informing, People Management, Communication Skills, Work under Pressure, Leadership, Team work, Interpersonal Skills, Mass Communication, Observation Skills, Risk Managing",76,Digital marketing ,Yes,HR,Masters in Business Administration,['entrepreneurship'],"['gathering informing', 'people management', 'communication skills', 'work under pressure', 'leadership', 'team work', 'interpersonal skills', 'mass communication', 'observation skills', 'risk managing']"
A60,Female,B.Sc,Biotechnology,"Research, Trading, Understand Human Behaviour","AI, ML, Python, Critical Thinking, Analytic Thinking, Artistic skills, Work under Pressure, Team work, Logical Skills, Presentation Skills",51,Data Science and Artificial Intelligence programe,Yes,Scientist,Masters in Science,"['research', 'trade', 'understand human behaviour']","['ai', 'ml', 'python', 'critical thinking', 'analytic thinking', 'artistic skills', 'work under pressure', 'team work', 'logical skills', 'presentation skills']"
A61,Female,B.Sc,Biotechnology,"Research, Trading, Understand Human Behaviour","AI, ML, Python, Critical Thinking, Analytic Thinking, Artistic skills, Work under Pressure, Team work, Logical Skills, Presentation Skills",50,Data Science and Artificial Intelligence programe,Yes,Scientist,Masters in Science,"['research', 'trade', 'understand human behaviour']","['ai', 'ml', 'python', 'critical thinking', 'analytic thinking', 'artistic skills', 'work under pressure', 'team work', 'logical skills', 'presentation skills']"
A62,Male,Bachelor of Management Studies,Business Administration,"Sales/Marketing, Entrepreneurship","Business Knowledge, People Management, Communication Skills, Logical Skills, Problem Solving skills, Reading, Sales",50,No,Yes,Business Consultant ,Master in Commerce,"['sales', 'market', 'entrepreneurship']","['business knowledge', 'people management', 'communication skills', 'logical skills', 'problem solving skills', 'read', 'sales']"
A63,Male,B.Sc,Information Technology,Technology,Active Listening;Critical Thinking,42,No,Yes,software engineer,Ma,['technology'],"['active listening', 'critical thinking']"
A64,Female,B.Sc,Physics,Teaching,Teaching ,51,No,Yes,Teaching,Masters in Science,['teach'],['teach']
A65,Male,B.Tech,Data Warehousing & Data Mining,"Financial Analysis, Research, Sales/Marketing, Technology, Entrepreneurship","Python, Critical Thinking, Analytic Thinking, Gathering Informing, Business Knowledge, SQL, Programming, People Management, Communication Skills, Negotiation Skills, Work under Pressure, Leadership, Product Knowledge, Creativity Skills, Excel, Interpersonal Skills, Presentation Skills, Wealth Management, Linux, Mass Communication, Tableau, Observation Skills, Risk Managing, Reading, Subject Knowledge",44,"SQL, CCNA",Yes,Data Engineer,Masters in Business Analytics,"['financial analysis', 'research', 'sales', 'market', 'technology', 'entrepreneurship']","['python', 'critical thinking', 'analytic thinking', 'gathering informing', 'business knowledge', 'sql', 'program', 'people management', 'communication skills', 'negotiation skills', 'work under pressure', 'leadership', 'product knowledge', 'creativity skills', 'excel', 'interpersonal skills', 'presentation skills', 'wealth management', 'linux', 'mass communication', 'tableau', 'observation skills', 'risk managing', 'read', 'subject knowledge']"
A66,Male,B.Tech,Mechanical Engineering,Technology,"AI, ML, Python",57,Python,No,Student (Unemployed),Masters in Data Science,['technology'],"['ai', 'ml', 'python']"
A67,Female,B.Sc,Biotechnology,Research;Sales/Marketing;Teaching;Trading;Understand human behaviour,Active Listening;Critical Thinking;Business Knowledge;People management;Communication skills;Leadership;Problem Solving skills;Risk management skills;Writing skills;Hospitality;Client management;Good communication skills,60,Pioneer lab course work ,Yes,Asst. Manager ,Mba(H.A) ,"['research', 'sales', 'market', 'teach', 'trade', 'understand human behaviour']","['active listening', 'critical thinking', 'business knowledge', 'people management', 'communication skills', 'leadership', 'problem solving skills', 'risk management skills', 'writing skills', 'hospitality', 'client management', 'good communication skills']"
A68,Female,B.Sc,Microbiology,"Technology, Understand Human Body","Leadership, Team work, Presentation Skills, Writing, Observation Skills, Designing Skills",70,No,Yes,Student (Unemployed),Masters in Science,"['technology', 'understand human body']","['leadership', 'team work', 'presentation skills', 'write', 'observation skills', 'designing skills']"
A69,Female,B.Sc,Microbiology,"Technology, Understand Human Body","Leadership, Team work, Presentation Skills, Writing, Observation Skills, Designing Skills",41,No,Yes,Student (Unemployed),Masters in Science,"['technology', 'understand human body']","['leadership', 'team work', 'presentation skills', 'write', 'observation skills', 'designing skills']"
A70,Female,MBA,Mechanical Engineering,Technology,Communication skills,70,No,No,Hr admin,Mba,['technology'],['communication skills']
A71,Male,B.Tech,Computers,"Trading, Entrepreneurship, Understand Human Behaviour","ML, Python",76,No,Yes,Hardware Engineer,Masters in Mathematics,"['trade', 'entrepreneurship', 'understand human behaviour']","['ml', 'python']"
A72,Male,B.Tech,Electronics and Communication Engineering,Teaching,"Active Listening,Work under Pressure,Team work,Presentation skills,Reading",47,No,Yes,Teaching,M.Tech,['teach'],"['active listening', 'work under pressure', 'team work', 'presentation skills', 'read']"
A73,Female,B.Sc,Biotechnology,Research;Sales/Marketing;Teaching;Trading;Understand human behaviour,Active Listening;Critical Thinking;Business Knowledge;People management;Communication skills;Leadership;Problem Solving skills;Risk management skills;Writing skills;Hospitality;Client management;Good communication skills,80,Pioneer lab course work ,Yes,Asst. Manager ,Mba(H.A) ,"['research', 'sales', 'market', 'teach', 'trade', 'understand human behaviour']","['active listening', 'critical thinking', 'business knowledge', 'people management', 'communication skills', 'leadership', 'problem solving skills', 'risk management skills', 'writing skills', 'hospitality', 'client management', 'good communication skills']"
